Created as New Dataset,ABS black tube
cm-1,%T
3193.00,97.26
3192.00,97.26
3191.00,97.26
3190.00,97.26
3189.00,97.26
3188.00,97.26
3187.00,97.26
3186.00,97.26
3185.00,97.26
3184.00,97.26
3183.00,97.26
3182.00,97.26
3181.00,97.26
3180.00,97.26
3179.00,97.26
3178.00,97.26
3177.00,97.26
3176.00,97.25
3175.00,97.25
3174.00,97.25
3173.00,97.24
3172.00,97.24
3171.00,97.24
3170.00,97.23
3169.00,97.23
3168.00,97.22
3167.00,97.22
3166.00,97.21
3165.00,97.21
3164.00,97.21
3163.00,97.21
3162.00,97.22
3161.00,97.22
3160.00,97.22
3159.00,97.23
3158.00,97.23
3157.00,97.24
3156.00,97.24
3155.00,97.24
3154.00,97.25
3153.00,97.25
3152.00,97.25
3151.00,97.25
3150.00,97.25
3149.00,97.25
3148.00,97.25
3147.00,97.25
3146.00,97.26
3145.00,97.26
3144.00,97.26
3143.00,97.25
3142.00,97.25
3141.00,97.25
3140.00,97.24
3139.00,97.24
3138.00,97.24
3137.00,97.24
3136.00,97.24
3135.00,97.24
3134.00,97.23
3133.00,97.23
3132.00,97.23
3131.00,97.22
3130.00,97.22
3129.00,97.22
3128.00,97.22
3127.00,97.21
3126.00,97.21
3125.00,97.20
3124.00,97.19
3123.00,97.18
3122.00,97.17
3121.00,97.16
3120.00,97.14
3119.00,97.12
3118.00,97.09
3117.00,97.06
3116.00,97.02
3115.00,96.98
3114.00,96.94
3113.00,96.88
3112.00,96.83
3111.00,96.77
3110.00,96.71
3109.00,96.66
3108.00,96.61
3107.00,96.58
3106.00,96.56
3105.00,96.54
3104.00,96.55
3103.00,96.56
3102.00,96.57
3101.00,96.59
3100.00,96.59
3099.00,96.59
3098.00,96.57
3097.00,96.53
3096.00,96.48
3095.00,96.41
3094.00,96.31
3093.00,96.19
3092.00,96.05
3091.00,95.89
3090.00,95.71
3089.00,95.54
3088.00,95.38
3087.00,95.25
3086.00,95.15
3085.00,95.09
3084.00,95.08
3083.00,95.12
3082.00,95.19
3081.00,95.27
3080.00,95.36
3079.00,95.43
3078.00,95.48
3077.00,95.50
3076.00,95.50
3075.00,95.48
3074.00,95.43
3073.00,95.36
3072.00,95.27
3071.00,95.16
3070.00,95.02
3069.00,94.87
3068.00,94.70
3067.00,94.53
3066.00,94.36
3065.00,94.21
3064.00,94.10
3063.00,94.02
3062.00,93.99
3061.00,94.01
3060.00,94.07
3059.00,94.17
3058.00,94.30
3057.00,94.45
3056.00,94.60
3055.00,94.75
3054.00,94.90
3053.00,95.02
3052.00,95.14
3051.00,95.23
3050.00,95.30
3049.00,95.35
3048.00,95.37
3047.00,95.36
3046.00,95.32
3045.00,95.26
3044.00,95.18
3043.00,95.07
3042.00,94.93
3041.00,94.77
3040.00,94.58
3039.00,94.36
3038.00,94.10
3037.00,93.80
3036.00,93.46
3035.00,93.09
3034.00,92.70
3033.00,92.29
3032.00,91.90
3031.00,91.54
3030.00,91.24
3029.00,91.04
3028.00,90.94
3027.00,90.96
3026.00,91.10
3025.00,91.36
3024.00,91.70
3023.00,92.09
3022.00,92.51
3021.00,92.92
3020.00,93.30
3019.00,93.62
3018.00,93.88
3017.00,94.07
3016.00,94.21
3015.00,94.30
3014.00,94.35
3013.00,94.35
3012.00,94.33
3011.00,94.27
3010.00,94.20
3009.00,94.12
3008.00,94.04
3007.00,93.97
3006.00,93.92
3005.00,93.91
3004.00,93.93
3003.00,94.01
3002.00,94.12
3001.00,94.26
3000.00,94.43
2999.00,94.60
2998.00,94.77
2997.00,94.91
2996.00,95.03
2995.00,95.13
2994.00,95.20
2993.00,95.25
2992.00,95.28
2991.00,95.30
2990.00,95.30
2989.00,95.29
2988.00,95.28
2987.00,95.25
2986.00,95.22
2985.00,95.18
2984.00,95.15
2983.00,95.10
2982.00,95.05
2981.00,95.00
2980.00,94.95
2979.00,94.89
2978.00,94.83
2977.00,94.76
2976.00,94.70
2975.00,94.62
2974.00,94.53
2973.00,94.43
2972.00,94.32
2971.00,94.21
2970.00,94.08
2969.00,93.93
2968.00,93.78
2967.00,93.61
2966.00,93.43
2965.00,93.25
2964.00,93.05
2963.00,92.85
2962.00,92.65
2961.00,92.44
2960.00,92.23
2959.00,92.02
2958.00,91.82
2957.00,91.63
2956.00,91.44
2955.00,91.25
2954.00,91.06
2953.00,90.86
2952.00,90.66
2951.00,90.45
2950.00,90.24
2949.00,90.02
2948.00,89.80
2947.00,89.58
2946.00,89.34
2945.00,89.10
2944.00,88.86
2943.00,88.61
2942.00,88.36
2941.00,88.11
2940.00,87.86
2939.00,87.62
2938.00,87.37
2937.00,87.13
2936.00,86.90
2935.00,86.67
2934.00,86.45
2933.00,86.23
2932.00,86.03
2931.00,85.84
2930.00,85.65
2929.00,85.48
2928.00,85.31
2927.00,85.16
2926.00,85.03
2925.00,84.92
2924.00,84.83
2923.00,84.78
2922.00,84.76
2921.00,84.79
2920.00,84.87
2919.00,85.01
2918.00,85.18
2917.00,85.41
2916.00,85.66
2915.00,85.94
2914.00,86.23
2913.00,86.52
2912.00,86.81
2911.00,87.10
2910.00,87.37
2909.00,87.64
2908.00,87.91
2907.00,88.16
2906.00,88.41
2905.00,88.65
2904.00,88.89
2903.00,89.11
2902.00,89.32
